id,stem,category
Q0055,和同事意见分歧，你,work-career
Q0056,你喜欢的工作节奏是,work-career
Q0057,面对重复性工作，你,work-career
Q0058,考虑职业转折时，你最在意,work-career
Q0059,工作中责任边界模糊时，你,work-career
Q0060,工作一天后，你的能量状态是,work-career
Q0061,当我感到低落时,emotion-self
Q0062,我感到愤怒时，通常,emotion-self
Q0063,焦虑来袭时，我,emotion-self
Q0064,我对自己的评价主要基于,emotion-self
Q0065,表达情绪对我来说,emotion-self
Q0066,我内省的时刻通常发生在,emotion-self
Q0067,接纳自己的不足，我,emotion-self
Q0068,我意识到自己情绪影响他人时，会,emotion-self
Q0069,独处对我而言是,emotion-self
Q0070,我对自己情绪的觉察,emotion-self
Q0071,我制定计划后,action-habit
Q0072,面对拖延，我,action-habit
Q0073,启动困难时，你,action-habit
Q0074,坚持和放弃之间，你倾向于,action-habit
Q0075,多任务并行时，你,action-habit
Q0076,完美和完成之间，你,action-habit
Q0077,你的节奏感更接近,action-habit
Q0078,计划被突发干扰，你,action-habit
Q0079,长期项目里，你,action-habit
Q0080,收尾阶段，你,action-habit
Q0081,想象三年后的自己，我更希望,future-vision
Q0082,五年后你最希望拥有,future-vision
Q0083,理想生活的核心是,future-vision
Q0084,风险和稳定之间，你,future-vision
Q0085,你希望未来自己,future-vision
Q0086,未知对你而言是,future-vision
Q0087,想象退休时回望，你最在意,future-vision
Q0088,给十年前的自己一句话，你会说,future-vision
Q0089,你希望留下的东西是,future-vision
Q0090,未来你最怕的是,future-vision
Q0091,开会时被同事当众反驳，我会,conflict-choice
Q0092,和权威意见不一致，你,conflict-choice
Q0093,利益和原则冲突时，你,conflict-choice
Q0094,团队分歧严重，你,conflict-choice
Q0095,亲密关系冲突，你,conflict-choice
Q0096,被误解时，你,conflict-choice
Q0097,必须得罪一方时，你,conflict-choice
Q0098,短期痛苦和长期收益冲突，你,conflict-choice
Q0099,妥协的边界对你而言是,conflict-choice
Q0100,冲突之后，你,conflict-choice
Q0101,我不太喜欢成为社交场合的焦点,interpersonal-relationship
Q0102,我做决定时经常犹豫不决,decision-making
Q0103,遇到挫折后我需要很长时间才能恢复,stress-response
Q0104,我做事情更多是为了别人的认可，而非自己真的想做,motivation-value
Q0105,我很难静下心读完一本理论性的书,learning-cognition
Q0106,我不太愿意承担需要长期负责的项目,work-career
Q0107,我经常察觉不到自己的情绪变化,emotion-self
Q0108,我经常拖延，明知该做也不动,action-habit
Q0109,我很少思考三年后的自己会是什么样,future-vision
Q0110,遇到分歧时我通常选择退让,conflict-choice
Q0111,周末我更喜欢,interpersonal-relationship
Q0112,买东西时我更看重,decision-making
Q0113,我更享受的工作是,work-career
Q0114,我的桌面/房间通常,action-habit
Q0115,看电影时我更在意,conflict-choice
Q0116,如果抛开所有外部期待，我真正想做的事是,motivation-value
Q0117,我内心深处最害怕被发现的弱点是,emotion-self
Q0118,如果生命只剩五年，我会立刻改变的是,future-vision
Q0119,我压力下最不愿承认的反应是,stress-response
Q0120,我人生中最重要的一个决定，是依据,decision-making
Q0121,周末的理想活动是,work-career
Q0122,我学东西最扎实的方式是,learning-cognition
Q0123,我更信任,action-habit
Q0124,描述未来时，我更倾向于,future-vision
Q0125,我经常觉得周围的人并不真正理解我,interpersonal-relationship
Q0126,朋友约我，我第一反应是,interpersonal-relationship
Q0127,你最希望从一段亲密关系中获得的,interpersonal-relationship
Q0128,面对网络上不认识的人的攻击，你,interpersonal-relationship
Q0129,和父母长期意见不合，但又不忍心顶撞，你,interpersonal-relationship
Q0130,许久未见的老朋友突然约见面，你,interpersonal-relationship
Q0131,在家庭聚会上被亲戚追问收入或婚恋，你,interpersonal-relationship
Q0132,和合租室友的生活习惯冲突，你,interpersonal-relationship
Q0133,面对一个明显喜欢你但你不感兴趣的人，你,interpersonal-relationship
Q0134,朋友向你借钱，但你知道可能不会还，你,interpersonal-relationship
Q0135,我经常在小事上也要反复纠结,decision-making
Q0136,出门前最后一件事，我通常,decision-making
Q0137,你最不愿意妥协的核心原则是,decision-making
Q0138,面对一个被催但你还没想清楚的决定,decision-making
Q0139,做了一件违反你原则的事来获利，你事后,decision-making
Q0140,同时收到两个不错的offer，但只能选一个,decision-making
Q0141,和伴侣或家人的居住城市分歧,decision-making
Q0142,选专业或换方向这种大事,decision-making
Q0143,是否在公开场合说出得罪人的真相,decision-making
Q0144,面对一刀切的规则,decision-making
Q0145,我面对压力时通常不会向别人倾诉,stress-response
Q0146,早晨闹钟响后,stress-response
Q0147,我能承受的压力上限，比大多数人,stress-response
Q0148,面对持续很久的低谷，我,stress-response
Q0149,被人当众批评，你,stress-response
Q0150,遇到不公平的事但无力改变时,stress-response
Q0151,考试或演讲前紧张时,stress-response
Q0152,搬家或换城市这种大事的压力,stress-response
Q0153,长期不被理解,stress-response
Q0154,身体疲惫但精神压力大,stress-response
Q0155,我经常不知道自己想要什么,motivation-value
Q0156,我工作主要为了,motivation-value
Q0157,如果明天就能财务自由，我最想先做的是,motivation-value
Q0158,我人生的意义感主要靠,motivation-value
Q0159,我更愿意被记住为,motivation-value
Q0160,看到朋友突然大获成功,motivation-value
Q0161,对于成功，我内心的标准是,motivation-value
Q0162,做一件无利可图但喜欢的事,motivation-value
Q0163,当被问想要什么样的生活，我内心的真实答案,motivation-value
Q0164,我做的很多选择其实是,motivation-value
Q0165,我学新东西时不太愿意用学过的方法,learning-cognition
Q0166,看书时我更喜欢,learning-cognition
Q0167,我真正掌握一个领域的方式是,learning-cognition
Q0168,面对一个全新领域，我,learning-cognition
Q0169,我记笔记的方式,learning-cognition
Q0170,听到一个新观点，我倾向,learning-cognition
Q0171,考试或测验前我,learning-cognition
Q0172,我喜欢的工作或学习方式是,learning-cognition
Q0173,我对我可能错了的态度,learning-cognition
Q0174,我喜欢被叫作专家吗,learning-cognition
Q0175,工作上我不太愿意主动承担额外责任,work-career
Q0176,上班时间我更偏好,work-career
Q0177,如果可以重新选择职业，我会,work-career
Q0178,面对一份高于自己能力的工作,work-career
Q0179,同事或上司让你不舒服但又不得不相处,work-career
Q0180,做一个项目时我更倾向,work-career
Q0181,面对公司的办公室政治,work-career
Q0182,我目前的工作状态最接近,work-career
Q0183,对于工作和生活平衡,work-career
Q0184,升职加薪但失去自由时间,work-career
Q0185,我不太擅长识别自己的情绪,emotion-self
Q0186,现在这一周我整体感觉,emotion-self
Q0187,我曾经最难面对的情绪是,emotion-self
Q0188,内疚感袭来时，我,emotion-self
Q0189,被夸奖时我,emotion-self
Q0190,我最大的情绪触发点是,emotion-self
Q0191,我和自己的感受的关系,emotion-self
Q0192,我允许自己在他人面前表达脆弱吗,emotion-self
Q0193,我情绪最稳定的时段是,emotion-self
Q0194,我对自己最常说的一句话,emotion-self
Q0195,我经常做事半途而废,action-habit
Q0196,我最喜欢的周末状态是,action-habit
Q0197,我人生中最大的一个未完成是,action-habit
Q0198,面对一个周期长且不确定性大的项目,action-habit
Q0199,我启动新一天或新项目的方式,action-habit
Q0200,我做事时的专注程度,action-habit
Q0201,我处理多件事时,action-habit
Q0202,对于完美和完成的取舍,action-habit
Q0203,我做事最怕的,action-habit
Q0204,做完一个项目后我,action-habit
Q0205,我不太敢想象十年后的自己,future-vision
Q0206,我更喜欢的未来图景是,future-vision
Q0207,如果我能给二十岁的自己一句话,future-vision
Q0208,我希望被记住的,future-vision
Q0209,对于长期主义我的态度,future-vision
Q0210,想象一个完全无压力的退休生活,future-vision
Q0211,我希望的人生是,future-vision
Q0212,五年后最大的期待是,future-vision
Q0213,我最大的野心是,future-vision
Q0214,面对未来的不确定性,future-vision
Q0215,我很少主动指出别人的错误,conflict-choice
Q0216,面对批评，你,conflict-choice
Q0217,我人生中最不愿意妥协的底线是,conflict-choice
Q0218,被朋友误解并疏远，你,conflict-choice
Q0219,团队中有人拖后腿，我,conflict-choice
Q0220,面对高风险或不确定的小事,conflict-choice
Q0221,被陌生人激怒，你,conflict-choice
Q0222,面对同事或朋友的越界请求,conflict-choice
Q0223,当发现一个你尊敬的权威犯了错,conflict-choice
Q0224,冲突结束后，我的状态,conflict-choice
Q0225,我和异地的朋友联系不多,interpersonal-relationship
Q0226,平时联系不多的同学突然找你帮忙,interpersonal-relationship
Q0227,我曾经最对不起的人是,interpersonal-relationship
Q0228,网上对一个不认识的人产生了好感,interpersonal-relationship
Q0229,和长期不来往的亲戚吃饭,interpersonal-relationship
Q0230,和合租邻居生活习惯不同,interpersonal-relationship
Q0231,被人在朋友圈公开夸奖,interpersonal-relationship
Q0232,朋友的婚礼让你请假参加,interpersonal-relationship
Q0233,你欣赏但对方不熟的人主动找你,interpersonal-relationship
Q0234,被别人以玩笑形式说闲话,interpersonal-relationship
Q0235,我经常对已经做出的决定反悔,decision-making
Q0236,买东西时店员推荐,decision-making
Q0237,如果你的人生只剩一年,decision-making
Q0238,是否要给陌生人指路,decision-making
Q0239,面对一个稳赚但无聊的投资,decision-making
Q0240,是否告诉朋友他的伴侣出轨,decision-making
Q0241,要不要帮陌生人一个忙,decision-making
Q0242,选餐厅时,decision-making
Q0243,做了一件事但发现是错的,decision-making
Q0244,面对一次性大额消费,decision-making
Q0245,面对压力我很难入睡,stress-response
Q0246,突然断网或失联,stress-response
Q0247,如果生命倒计时开始,stress-response
Q0248,面试或答辩被当场刁难,stress-response
Q0249,错过一个重要机会,stress-response
Q0250,宠物或亲人突然生病,stress-response
Q0251,搬家前夜的告别,stress-response
Q0252,丢了一个珍贵的物品,stress-response
Q0253,被人公开嘲笑或羞辱,stress-response
Q0254,面对完全未知的新环境,stress-response
Q0255,我很少觉得有什么值得奋斗,motivation-value
Q0256,我学习或工作主要为了,motivation-value
Q0257,如果可以影响世界一件事,motivation-value
Q0258,做慈善或捐款对我,motivation-value
Q0259,我更看重的,motivation-value
Q0260,什么情况下我会改变现状,motivation-value
Q0261,看到别人得到我想要的东西,motivation-value
Q0262,对出名这件事,motivation-value
Q0263,面对真实的自己和理想的自己,motivation-value
Q0264,我做选择时最在意的,motivation-value
Q0265,我很难坚持学完一门课,learning-cognition
Q0266,看书与短视频,learning-cognition
Q0267,我学新东西的黄金期,learning-cognition
Q0268,面对看不懂的内容,learning-cognition
Q0269,我更喜欢哪种老师,learning-cognition
Q0270,学以致用的间隔,learning-cognition
Q0271,遇到学不下去的时候,learning-cognition
Q0272,我更擅长哪种学习,learning-cognition
Q0273,碰到瓶颈期,learning-cognition
Q0274,我和知识的关系,learning-cognition
Q0275,工作占据了我大部分精力,work-career
Q0276,通勤距离对工作的影响,work-career
Q0277,如果可以不上班,work-career
Q0278,面对一份有面子但不开心的工作,work-career
Q0279,加班到很晚,work-career
Q0280,副业和主业的平衡,work-career
Q0281,和同龄人比较职业发展,work-career
Q0282,跳槽的频率,work-career
Q0283,我理想的工作模式,work-career
Q0284,当公司要裁员时,work-career
Q0285,我经常感到莫名的烦躁,emotion-self
Q0286,今天此刻的心情,emotion-self
Q0287,我曾经最难放下的一个情绪,emotion-self
Q0288,看到别人幸福时,emotion-self
Q0289,孤独时刻,emotion-self
Q0290,面对嫉妒情绪,emotion-self
Q0291,感恩的时刻,emotion-self
Q0292,我情绪化最严重的场景,emotion-self
Q0293,怀念过去时,emotion-self
Q0294,面对死亡或失去,emotion-self
Q0295,我经常改变已经定好的计划,action-habit
Q0296,今天的待办,action-habit
Q0297,我三十天能坚持的最长一件事,action-habit
Q0298,面对已经偏离轨道的目标,action-habit
Q0299,健身或运动习惯,action-habit
Q0300,节食或饮食习惯,action-habit
Q0301,断舍离或整理物品,action-habit
Q0302,开始新习惯的难度,action-habit
Q0303,执行与计划的差距,action-habit
Q0304,面对一个deadline临近的项目,action-habit
Q0305,我很少写年度计划,future-vision
Q0306,今年的目标数,future-vision
Q0307,我人生最大的愿望,future-vision
Q0308,面对社会期待与自我期待,future-vision
Q0309,什么时候考虑买房,future-vision
Q0310,什么时候考虑生育,future-vision
Q0311,是否会回家发展,future-vision
Q0312,十年后我会在哪里,future-vision
Q0313,理想的一天,future-vision
Q0314,希望世界怎样变化,future-vision
Q0315,我经常妥协不愿起冲突,conflict-choice
Q0316,维权或投诉经验,conflict-choice
Q0317,如果你必须和一个人长期敌对,conflict-choice
Q0318,面对服务人员犯错,conflict-choice
Q0319,和别人起冲突后的道歉,conflict-choice
Q0320,面对公开的不公平,conflict-choice
Q0321,和亲密的人破裂后,conflict-choice
Q0322,面对明显的谎言,conflict-choice
Q0323,看到别人被欺负,conflict-choice
Q0324,面对价值观不同的合作者,conflict-choice
Q0325,分手后对方求复合,interpersonal-relationship
Q0326,家里日常琐事的分工,interpersonal-relationship
Q0327,我曾经最感激的一段关系,interpersonal-relationship
Q0328,和年龄差距大的人交流,interpersonal-relationship
Q0329,面对一个特别黏人的朋友,interpersonal-relationship
Q0330,工作中遇到不靠谱的合作伙伴,interpersonal-relationship
Q0331,和一个聊不到一起的人吃饭,interpersonal-relationship
Q0332,面对朋友的炫耀,interpersonal-relationship
Q0333,和一个价值观不同的人共事,interpersonal-relationship
Q0334,面对一个总爱打听隐私的人,interpersonal-relationship
Q0335,面对已经做出的错误决定,decision-making
Q0336,是否要转行,decision-making
Q0337,如果必须在两个人生目标之间放弃一个，你会放弃,decision-making
Q0338,是否要读研究生,decision-making
Q0339,面对一份暂时没回报的事,decision-making
Q0340,是否告诉朋友坏消息,decision-making
Q0341,是否要尝试一件没做过的事,decision-making
Q0342,买到的东西不喜欢,decision-making
Q0343,面对一个可能错过的机会,decision-making
Q0344,同时面对多个机会,decision-making
Q0345,被裁员时我的反应,stress-response
Q0346,突然收到一笔意外的账单,stress-response
Q0347,如果突然失去主要经济来源,stress-response
Q0348,体检发现健康警报,stress-response
Q0349,独居的孤独感,stress-response
Q0350,面对突发的工作危机,stress-response
Q0351,考试或重要日期前的紧张,stress-response
Q0352,被不公平对待,stress-response
Q0353,面对自己造成的失败,stress-response
Q0354,面对一群陌生人,stress-response
Q0355,我很少觉得当下的事情有意义,motivation-value
Q0356,如果能留下一件作品给后代,motivation-value
Q0357,我人生真正的价值是什么,motivation-value
Q0358,面对家庭责任与个人追求冲突,motivation-value
Q0359,我看重的回报,motivation-value
Q0360,当努力没看到结果,motivation-value
Q0361,面对父母对我的期待,motivation-value
Q0362,对一个轻松但没什么成就感的工作,motivation-value
Q0363,我内心最深处的恐惧,motivation-value
Q0364,我对声望的追求,motivation-value
Q0365,我经常买课但学不完,learning-cognition
Q0366,对考证和考级,learning-cognition
Q0367,我真正成为某个领域专家的方式,learning-cognition
Q0368,面对一个全新领域的难题,learning-cognition
Q0369,我喜欢哪种学习方式,learning-cognition
Q0370,学完一个东西后多久会忘记,learning-cognition
Q0371,面对学不进去的时刻,learning-cognition
Q0372,我更擅长哪种学习内容,learning-cognition
Q0373,面对一个长期学不好的东西,learning-cognition
Q0374,我学习的核心动力,learning-cognition
Q0375,工作多年的我最大的倦怠,work-career
Q0376,今天上班前的状态,work-career
Q0377,我理想的下半场职业,work-career
Q0378,面对职业倦怠期,work-career
Q0379,和同事午饭时间,work-career
Q0380,跨部门合作,work-career
Q0381,面对绩效压力,work-career
Q0382,面对一个想带团队但公司没机会的人,work-career
Q0383,我对职业最看重的,work-career
Q0384,在团队中我的角色,work-career
Q0385,我经常陷入莫名的低落,emotion-self
Q0386,今天身体的感觉,emotion-self
Q0387,我曾经最难处理的内在冲突,emotion-self
Q0388,面对中年危机或空虚感,emotion-self
Q0389,我和身体的关系,emotion-self
Q0390,面对内心的阴暗面,emotion-self
Q0391,面对曾经的错误,emotion-self
Q0392,我和父母的关系,emotion-self
Q0393,面对一个让我失望的朋友,emotion-self
Q0394,面对自我怀疑,emotion-self
Q0395,我做事经常临时改变方向,action-habit
Q0396,今天的安排,action-habit
Q0397,我坚持一个习惯的瓶颈,action-habit
Q0398,面对一个长期目标,action-habit
Q0399,理财习惯,action-habit
Q0400,时间管理,action-habit
Q0401,断舍离最难的是,action-habit
Q0402,开始新习惯的触发,action-habit
Q0403,我的执行力,action-habit
Q0404,面对已经制定但迟迟未动的计划,action-habit
Q0405,我很少想到10年后的自己,future-vision
Q0406,我最希望给孩子什么,future-vision
Q0407,父母老了以后我,future-vision
Q0408,如果50岁后职业出现危机,future-vision
Q0409,面对可能错过的爱情,future-vision
Q0410,如果35岁前没有太大成就,future-vision
Q0411,我希望退休后的生活,future-vision
Q0412,10年后我希望自己在做什么,future-vision
Q0413,我理想的人生轨迹,future-vision
Q0414,面对可能活不到老的认知,future-vision
Q0415,我经常在冲突后失去表达,conflict-choice
Q0416,面对客户的投诉,conflict-choice
Q0417,面对最亲近的人的不合理要求,conflict-choice
Q0418,面对公开场合的指责,conflict-choice
Q0419,面对朋友的不合理要求,conflict-choice
Q0420,面对一个总是否定你的人,conflict-choice
Q0421,面对一个侵犯你边界的人,conflict-choice
Q0422,面对因误会引发的冲突,conflict-choice
Q0423,面对原则性的冲突,conflict-choice
Q0424,和价值观完全不同的人共事,conflict-choice
Q0425,和不太熟的人单独相处时，你,interpersonal-relationship
Q0426,朋友答应的事没做到，你,interpersonal-relationship
Q0427,群体合影时你更可能站在,interpersonal-relationship
Q0428,别人给你提建议时，我会认真倾听并思考,interpersonal-relationship
Q0429,看到朋友圈谁情绪低落，你,interpersonal-relationship
Q0430,和价值观差异大的人相处,interpersonal-relationship
Q0431,我经常羡慕别人有人依靠,interpersonal-relationship
Q0432,帮朋友搬家那天你,interpersonal-relationship
Q0433,冲突后我会主动找对方,interpersonal-relationship
Q0434,和同事/同学熟了之后你,interpersonal-relationship
Q0435,做事总是喜欢临时调整,decision-making
Q0436,面对多个目标，我会,decision-making
Q0437,我已经定下来的事基本不会改,decision-making
Q0438,选专业/选方向时你,decision-making
Q0439,如果一件事做了3个月没效果,decision-making
Q0440,做了失败的决定我会反复回想,decision-making
Q0441,接到任务后你第一反应,decision-making
Q0442,机会错过之后我会反复懊恼,decision-making
Q0443,做人生大决定时,decision-making
Q0444,你做决定时更看重,decision-making
Q0445,压力下我会先吃东西或睡一觉,stress-response
Q0446,工作上突发状况你,stress-response
Q0447,我经常因为小事烦躁,stress-response
Q0448,压力大时你倾向,stress-response
Q0449,我会把压力藏在心里,stress-response
Q0450,遇到突发负面消息，你,stress-response
Q0451,失败后我会很快恢复,stress-response
Q0452,持续高压下你,stress-response
Q0453,和陌生人起冲突时你,stress-response
Q0454,我经常感到焦虑,stress-response
Q0455,做事的核心动力是,motivation-value
Q0456,比起被喜欢，我更想被尊重,motivation-value
Q0457,什么让你觉得人生值得,motivation-value
Q0458,金钱对我很重要,motivation-value
Q0459,你更愿意被描述为,motivation-value
Q0460,如果不能帮助别人，我会怀疑意义,motivation-value
Q0461,我做事的标准是,motivation-value
Q0462,我常常觉得活着没什么意思,motivation-value
Q0463,你更希望的人生是,motivation-value
Q0464,如果贡献被忽视，你,motivation-value
Q0465,学新东西时你,learning-cognition
Q0466,我学东西喜欢反复琢磨,learning-cognition
Q0467,听讲座/上课时你,learning-cognition
Q0468,遇到陌生领域你,learning-cognition
Q0469,比起理论我更愿意尝试,learning-cognition
Q0470,喜欢学的类型是,learning-cognition
Q0471,我经常学了一半就换,learning-cognition
Q0472,读书/看文章你倾向,learning-cognition
Q0473,碰到难题你,learning-cognition
Q0474,学完一门课你,learning-cognition
Q0475,理想工作的氛围是,work-career
Q0476,我和上司意见冲突会,work-career
Q0477,同事在背后议论你，你,work-career
Q0478,我经常觉得工作没意义,work-career
Q0479,工作遇到瓶颈你,work-career
Q0480,做汇报/展示时你,work-career
Q0481,我经常担心失业,work-career
Q0482,团队里你更愿当,work-career
Q0483,工作出彩时你更希望,work-career
Q0484,我会因为不喜欢的人而换工作,work-career
Q0485,我会因为情绪影响重要决定,emotion-self
Q0486,独处时你通常,emotion-self
Q0487,你更了解自己的,emotion-self
Q0488,我经常压抑自己的感受,emotion-self
Q0489,心情低落时你,emotion-self
Q0490,我经常羡慕别人的生活,emotion-self
Q0491,独处太久我会,emotion-self
Q0492,别人夸我，我会不自在,emotion-self
Q0493,面对自己的脆弱,emotion-self
Q0494,我经常觉得别人不懂我,emotion-self
Q0495,开始新习惯前你会,action-habit
Q0496,我经常半途放弃计划,action-habit
Q0497,做事节奏更倾向,action-habit
Q0498,决定的事我常常不立刻做,action-habit
Q0499,一天结束时你,action-habit
Q0500,我经常把事情拖到最后一刻,action-habit
Q0501,养成习惯你靠,action-habit
Q0502,我经常心血来潮就买/做,action-habit
Q0503,周末你更愿,action-habit
Q0504,做事我会反复调整细节,action-habit
Q0505,5年后你最希望,future-vision
Q0506,我对未来经常充满期待,future-vision
Q0507,你更想成为哪种人,future-vision
Q0508,对人生下半场你,future-vision
Q0509,我对未来几乎没有规划,future-vision
Q0510,想象理想的晚年你,future-vision
Q0511,我常常担心未来,future-vision
Q0512,你更向往的生活是,future-vision
Q0513,我常常想象十年后的样子,future-vision
Q0514,做人生选择时更看,future-vision
Q0515,当面被反驳你,conflict-choice
Q0517,我经常主动回避冲突,conflict-choice
Q0518,原则和人情冲突时,conflict-choice
Q0519,我会因为不同意见换朋友,conflict-choice
Q0520,面对不想帮的请求你,conflict-choice
Q0521,做不喜欢的应酬,conflict-choice
Q0522,被人背后说我会直接面对,conflict-choice
Q0523,公私分明对你,conflict-choice
Q0524,当面冲突后你,conflict-choice
Q0525,被朋友突然冷落你会,interpersonal-relationship
Q0526,别人跟你分享好消息时,interpersonal-relationship
Q0527,跟陌生小孩相处你,interpersonal-relationship
Q0528,我经常觉得被忽略,interpersonal-relationship
Q0529,亲密关系里你更需要,interpersonal-relationship
Q0530,和刚认识的人聊天你,interpersonal-relationship
Q0531,我不太愿意让别人进我心里,interpersonal-relationship
Q0532,朋友成功了你,interpersonal-relationship
Q0533,聚会时你更愿意,interpersonal-relationship
Q0534,被群体孤立你,interpersonal-relationship
Q0535,我常因为不想后悔而拖延,decision-making
Q0536,选 offer/项目时你,decision-making
Q0537,我做的决定通常很难改变,decision-making
Q0538,面对不可逆决定你,decision-making
Q0539,做选择时我更倾向,decision-making
Q0540,已经选完的事我很少纠结,decision-making
Q0541,面对完全陌生的领域你,decision-making
Q0542,我经常把决定拖到截止,decision-making
Q0543,选专业/职业你更看重,decision-making
Q0544,我经常后悔过去的决定,decision-making
Q0545,压力下我会反复检查,stress-response
Q0546,遇到紧急任务你,stress-response
Q0547,面对突发坏消息我容易慌,stress-response
Q0548,高压状态下你倾向,stress-response
Q0549,我会因压力失眠,stress-response
Q0550,持续紧张时你,stress-response
Q0551,压力后我会很快恢复,stress-response
Q0552,和家人/伴侣起冲突后,stress-response
Q0553,我会因为小事焦虑很久,stress-response
Q0554,周末结束后周一早上你,stress-response
Q0555,工作对我是,motivation-value
Q0556,比起被喜欢，我更想被需要,motivation-value
Q0557,什么让你长期坚持一件事,motivation-value
Q0558,比起钱，我更在意被认可,motivation-value
Q0559,理想的一天是,motivation-value
Q0560,比起安稳我更想要自由,motivation-value
Q0561,更让你满足的是,motivation-value
Q0562,如果影响不到别人，我做事的意愿会降低,motivation-value
Q0563,你更想被记住为,motivation-value
Q0564,比起新的，我更留恋熟悉的,motivation-value
Q0565,我喜欢把学到的东西讲给别人,learning-cognition
Q0566,遇到瓶颈你,learning-cognition
Q0567,我更倾向于边做边学,learning-cognition
Q0568,讲座/课程结束后你,learning-cognition
Q0569,比起已经会的我更想挑战新东西,learning-cognition
Q0570,对新工具/方法你,learning-cognition
Q0571,我经常因为别人的讲解理解新概念,learning-cognition
Q0572,读完一本书你,learning-cognition
Q0573,我更愿意自己琢磨,learning-cognition
Q0574,你学东西时更依赖,learning-cognition
Q0575,你理想的工作节奏是,work-career
Q0576,比起升职我更想要好团队,work-career
Q0577,同事能力不行时你,work-career
Q0578,你更愿做,work-career
Q0579,我会因为和领导气场不合换工作,work-career
Q0580,工作里被夸你会,work-career
Q0581,我经常质疑工作的意义,work-career
Q0582,面对加班,work-career
Q0583,比起管人我更愿做事,work-career
Q0584,选工作时你倾向,work-career
Q0585,我会因为别人情绪影响自己,emotion-self
Q0586,心情好时你,emotion-self
Q0587,我经常压抑负面情绪,emotion-self
Q0588,独处时你倾向,emotion-self
Q0589,比起开心，我更追求平静,emotion-self
Q0590,面对压力你,emotion-self
Q0591,比起被喜欢，我更想被理解,emotion-self
Q0592,情绪来的时候你,emotion-self
Q0593,我常常不知道自己真正想要什么,emotion-self
Q0594,你更需要的情感是,emotion-self
Q0595,开始新项目你倾向,action-habit
Q0596,我经常因为追求完美而拖延,action-habit
Q0597,做事收尾你,action-habit
Q0598,比起开始，我更擅长坚持,action-habit
Q0599,做事期间被打断你,action-habit
Q0600,我经常把事情想得很完美但做不到,action-habit
Q0601,做家务/杂事你,action-habit
Q0602,比起规划我更喜欢马上做,action-habit
Q0603,早上你更习惯,action-habit
Q0604,我做事经常做到一半就换,action-habit
Q0605,10年后你更希望,future-vision
Q0606,我对未来常常感到迷茫,future-vision
Q0607,退休/财务自由后你,future-vision
Q0608,比起安定我更想要可能性,future-vision
Q0609,更希望的人生是,future-vision
Q0610,我经常想象自己功成名就,future-vision
Q0611,你希望晚年回顾时,future-vision
Q0612,比起自己我更想推动他人成功,future-vision
Q0613,更让你激动的未来是,future-vision
Q0614,我对未来常常缺乏想象,future-vision
Q0615,面对必须立刻做的取舍,conflict-choice
